id,breath_id,R,C,time_step,u_in,u_out,pressure
6000001,125013,5,50,0.0,100.0,0,6.118700286873992
6000002,125013,5,50,0.0317814350128173,100.0,0,11.110152613910332
6000003,125013,5,50,0.0646197795867919,100.0,0,13.148914831995608
6000004,125013,5,50,0.0964069366455078,92.9526470545241,0,17.788856431775883
6000005,125013,5,50,0.1282610893249511,92.32829018516156,0,17.788856431775883
6000006,125013,5,50,0.1600518226623535,91.9495025934584,0,17.64825214087345
6000007,125013,5,50,0.1928634643554687,90.56400815167942,0,17.929460722678318
6000008,125013,5,50,0.2248592376708984,87.9678749177206,0,18.70278432264168
6000009,125013,5,50,0.2567603588104248,85.45854018653628,0,19.335503631702643
6000010,125013,5,50,0.2887163162231445,83.2335319233699,0,19.75731650440993
6000011,125013,5,50,0.3216278553009033,80.99360548098807,0,20.10882723166601
6000012,125013,5,50,0.3535125255584717,77.75345861630336,0,20.88215083162937
6000013,125013,5,50,0.3854718208312988,74.78912016933553,0,21.44456799523911
6000014,125013,5,50,0.417426586151123,72.32153920564969,0,21.72577657704397
6000015,125013,5,50,0.450291633605957,68.94649322631531,0,22.35849588610492
6000016,125013,5,50,0.4822852611541748,65.64710864350141,0,22.92091304971466
6000017,125013,5,50,0.5142788887023926,62.54914615413289,0,23.342725922421952
6000018,125013,5,50,0.5462532043457031,58.74755746024256,0,24.045747376934116
6000019,125013,5,50,0.5791397094726562,55.68881751104145,0,24.326955958738985
6000020,125013,5,50,0.6111071109771729,52.354143649581445,0,24.748768831446277
6000021,125013,5,50,0.6430971622467041,48.79956278563255,0,25.240883849604792
6000022,125013,5,50,0.6750900745391846,45.17187481070788,0,25.732998867763307
6000023,125013,5,50,0.7080559730529785,41.0789079739148,0,26.36571817682424
6000024,125013,5,50,0.7399613857269287,37.61061739134768,0,26.71722890408034
6000025,125013,5,50,0.7719004154205322,34.112468334116926,0,27.068739631336403
6000026,125013,5,50,0.8037843704223633,30.75121283932794,0,27.349948213141275
6000027,125013,5,50,0.8366377353668213,27.44649860630245,0,27.771761085848567
6000028,125013,5,50,0.8685588836669922,25.63661064350612,0,28.12327181310466
